t,u,v
10.18,163.97,0.23
10.2,164.64,0.58
10.22,165.29,0.76
10.24,165.9,1.0
10.26,166.48,1.3
10.28,167.02,1.46
10.3,167.52,1.57
10.32,167.98,1.65
10.34,168.39,1.74
10.36,168.76,1.74
10.38,169.09,1.88
10.4,169.36,2.09
10.42,169.59,2.35
10.44,169.77,2.77
10.46,169.9,2.99
10.48,169.97,2.98
10.5,170.0,2.92
10.52,169.97,2.81
10.54,169.9,2.96
10.56,169.77,3.12
10.58,169.59,3.2
10.6,169.36,3.19
10.62,169.09,3.07
10.64,168.76,3.0
10.66,168.39,2.98
10.68,167.98,3.03
10.7,167.52,3.04
10.72,167.02,3.08
10.74,166.48,3.01
10.76,165.9,3.04
10.78,165.29,3.01
10.8,164.64,3.04
10.82,163.97,3.03
10.84,163.26,2.95
10.86,162.54,2.88
10.88,161.79,2.96
10.9,161.02,2.97
10.92,160.23,2.75
10.94,159.44,2.26
10.96,158.63,1.63
10.98,157.82,1.0
11.0,157.0,0.43
11.02,156.18,0.03
11.04,155.37,-0.13
11.06,154.56,-0.12
11.08,153.77,0.03
11.1,152.98,0.15
11.12,152.21,0.26
11.14,151.46,0.18
11.16,150.74,-0.02
11.18,150.03,-0.2
11.2,149.36,-0.39
11.22,148.71,-0.51
11.24,148.1,-0.59
11.26,147.52,-0.82
11.28,146.98,-1.36
11.3,146.48,-2.16
11.32,146.02,-2.4
11.34,145.61,-2.48
11.36,145.24,-2.6
11.38,144.91,-2.54
11.4,144.64,-2.58
11.42,144.41,-2.69
11.44,144.23,-2.72
11.46,144.1,-2.86
11.48,144.03,-2.93
11.5,144.0,-3.19
11.52,144.03,-3.33
11.54,144.1,-3.31
11.56,144.23,-3.13
11.58,144.41,-3.04
11.6,144.64,-3.08
11.62,144.91,-3.19
11.64,145.24,-3.22
11.66,145.61,-3.21
11.68,146.02,-3.14
11.7,146.48,-3.12
11.72,146.98,-3.13
11.74,147.52,-3.17
11.76,148.1,-3.17
11.78,148.71,-3.11
11.8,149.36,-3.04
11.82,150.03,-3.09
11.84,150.74,-3.22
11.86,151.46,-3.3
11.88,152.21,-3.09
11.9,152.98,-2.62
11.92,153.77,-2.15
11.94,154.56,-1.67
11.96,155.37,-1.3
11.98,156.18,-1.04
12.0,157.0,-0.97
12.02,157.82,-1.05
12.04,158.63,-1.08
12.06,159.44,-1.05
12.08,160.23,-1.01
12.1,161.02,-0.89
12.12,161.79,-0.79
12.14,162.54,-0.56
12.16,163.26,-0.24
0.02,157.82,0.29
0.04,158.63,0.45
0.06,159.44,0.66
0.08,160.23,0.87
0.1,161.02,1.07
0.12,161.79,0.98
0.14,162.54,0.79
0.16,163.26,0.58
0.18,163.97,0.39
0.2,164.64,0.37
0.22,165.29,0.49
0.24,165.9,0.79
0.26,166.48,0.96
0.28,167.02,1.13
0.3,167.52,1.23
0.32,167.98,1.3
0.34,168.39,1.52
0.36,168.76,1.87
0.38,169.09,2.16
0.4,169.36,2.39
0.42,169.59,2.43
0.44,169.77,2.59
0.46,169.9,2.66
0.48,169.97,2.77
0.5,170.0,2.8
0.52,169.97,2.98
0.54,169.9,3.16
0.56,169.77,3.42
0.58,169.59,3.45
0.6,169.36,3.32
0.62,169.09,3.14
0.64,168.76,3.03
0.66,168.39,3.1
0.68,167.98,3.22
0.7,167.52,3.35
0.72,167.02,3.31
0.74,166.48,3.25
0.76,165.9,3.17
0.78,165.29,3.16
0.8,164.64,3.17
0.82,163.97,3.19
0.84,163.26,3.15
0.86,162.54,2.91
0.88,161.79,2.59
0.9,161.02,2.55
0.92,160.23,2.05
0.94,159.44,1.63
0.96,158.63,1.54
0.98,157.82,1.47
1.0,157.0,1.43
1.02,156.18,1.34
1.04,155.37,1.15
1.06,154.56,0.89
1.08,153.77,0.52
1.1,152.98,0.19
1.12,152.21,-0.0
1.14,151.46,-0.1
1.16,150.74,-0.07
1.18,150.03,0.09
1.2,149.36,0.13
1.22,148.71,-0.08
1.24,148.1,-0.73
1.26,147.52,-1.43
1.28,146.98,-1.8
1.3,146.48,-1.86
1.32,146.02,-1.98
1.34,145.61,-2.21
1.36,145.24,-2.22
1.38,144.91,-2.48
1.4,144.64,-2.84
1.42,144.41,-2.94
1.44,144.23,-2.95
1.46,144.1,-2.69
1.48,144.03,-2.6
1.5,144.0,-2.73
1.52,144.03,-3.05
1.54,144.1,-3.28
1.56,144.23,-3.26
1.58,144.41,-3.1
1.6,144.64,-2.96
1.62,144.91,-3.01
1.64,145.24,-3.13
1.66,145.61,-3.19
1.68,146.02,-3.13
1.7,146.48,-3.03
1.72,146.98,-2.99
1.74,147.52,-3.06
1.76,148.1,-3.16
1.78,148.71,-3.19
1.8,149.36,-3.09
1.82,150.03,-3.03
1.84,150.74,-3.03
1.86,151.46,-2.88
1.88,152.21,-2.58
1.9,152.98,-2.44
1.92,153.77,-2.34
1.94,154.56,-2.24
1.96,155.37,-2.11
1.98,156.18,-1.88
2.0,157.0,-1.57
2.02,157.82,-1.28
2.04,158.63,-1.03
2.06,159.44,-0.83
2.08,160.23,-0.7
2.1,161.02,-0.55
2.12,161.79,-0.31
2.14,162.54,-0.06
2.16,163.26,0.25
2.18,163.97,0.43
2.2,164.64,0.65
2.22,165.29,0.92
2.24,165.9,1.12
2.26,166.48,1.29
2.28,167.02,1.36
2.3,167.52,1.31
2.32,167.98,1.28
2.34,168.39,1.49
2.36,168.76,1.87
2.38,169.09,2.28
2.4,169.36,2.62
2.42,169.59,2.69
2.44,169.77,2.78
2.46,169.9,2.75
2.48,169.97,2.78
2.5,170.0,2.89
2.52,169.97,3.21
2.54,169.9,3.36
2.56,169.77,3.36
2.58,169.59,3.18
2.6,169.36,3.01
2.62,169.09,2.95
2.64,168.76,3.01
2.66,168.39,3.15
2.68,167.98,3.21
2.7,167.52,3.19
2.72,167.02,3.09
2.74,166.48,3.05
2.76,165.9,3.08
2.78,165.29,3.14
2.8,164.64,3.11
2.82,163.97,3.03
2.84,163.26,2.97
2.86,162.54,3.02
2.88,161.79,3.05
2.9,161.02,2.9
2.92,160.23,2.44
2.94,159.44,1.97
2.96,158.63,1.59
2.98,157.82,1.51
3.0,157.0,1.4
3.02,156.18,1.18
3.04,155.37,1.02
3.06,154.56,0.81
3.08,153.77,0.59
3.1,152.98,0.43
3.12,152.21,0.33
3.14,151.46,0.24
3.16,150.74,0.19
3.18,150.03,0.18
3.2,149.36,0.08
3.22,148.71,-0.21
3.24,148.1,-0.81
3.26,147.52,-1.46
3.28,146.98,-1.71
3.3,146.48,-1.65
3.32,146.02,-1.73
3.34,145.61,-1.99
3.36,145.24,-2.16
3.38,144.91,-2.47
3.4,144.64,-2.8
3.42,144.41,-2.81
3.44,144.23,-2.66
3.46,144.1,-2.31
3.48,144.03,-2.35
3.5,144.0,-2.62
3.52,144.03,-3.1
3.54,144.1,-3.36
3.56,144.23,-3.27
3.58,144.41,-2.99
3.6,144.64,-2.77
3.62,144.91,-2.88
3.64,145.24,-3.08
3.66,145.61,-3.2
3.68,146.02,-3.11
3.7,146.48,-2.96
3.72,146.98,-2.88
3.74,147.52,-2.97
3.76,148.1,-3.1
3.78,148.71,-3.18
3.8,149.36,-3.06
3.82,150.03,-2.98
3.84,150.74,-2.96
3.86,151.46,-2.85
3.88,152.21,-2.58
3.9,152.98,-2.45
3.92,153.77,-2.35
3.94,154.56,-2.3
3.96,155.37,-2.14
3.98,156.18,-1.9
4.0,157.0,-1.57
4.02,157.82,-1.23
4.04,158.63,-0.92
4.06,159.44,-0.69
4.08,160.23,-0.5
4.1,161.02,-0.35
4.12,161.79,-0.17
4.14,162.54,0.01
4.16,163.26,0.25
4.18,163.97,0.5
4.2,164.64,0.75
4.22,165.29,0.99
4.24,165.9,1.25
4.26,166.48,1.42
4.28,167.02,1.47
4.3,167.52,1.43
4.32,167.98,1.53
4.34,168.39,1.71
4.36,168.76,1.98
4.38,169.09,2.32
4.4,169.36,2.48
4.42,169.59,2.72
4.44,169.77,2.98
